Product category,Product category (english),Brand name,Retailer,Article no.,Article description,Article description (english),Picture url,Retail price,Old retail price,Currency,Rating,Number of reviews,Features,Features (english),Product link
Luftreiniger,Air Purifier,philips,amazonde,B07HPC63WV,"Philips 2-in-1 Air Purifier and Humidifier Series (App Connectivity), White, Black, White, AC2729/10 ","Philips 2-in-1 Air Purifier and Humidifier Series (App Connectivity), White, Black, White, AC2729/10",https://images-eu.ssl-images-amazon.com/images/I/71cmvELg86L.__AC_SX300_SY300_QL70_ML2_.jpg,269.0,269.0,EUR,4.5,359," 
 About this item    Completely healthy indoor climate thanks to the full combination of air purifier and humidifier    Hygienic and highly efficient humidifier for optimum humidity (500 ml/h) and 99% less bacteria emissions than ultrasonic humidifier.    App connection: control of the device, recording and monitoring of air quality, allergy management    3 cleaning modes, 4 humidity levels, air purifier/humidifier only possible    Choose the ""2-in-1 mode"" or ""Air Purification mode only""    
 See more product details ","About this item    Completely healthy indoor climate thanks to the full combination of air purifier and humidifier    Hygienic and highly efficient humidifier for optimum humidity (500 ml/h) and 99% less bacteria emissions than ultrasonic humidifier.    App connection: control of the device, recording and monitoring of air quality, allergy management    3 cleaning modes, 4 humidity levels, air purifier/humidifier only possible    Choose the ""2-in-1 mode"" or ""Air Purification mode only""    
 See more product details",https://www.amazon.de/Philips-AC2729-Luftreiniger-befeuchter-App-Anbindung/dp/B07HPC63WV/ref=sr_1_21?keywords=Luftreiniger&qid=1638506033&sr=8-21
Tragbarer Luftkühler,Portable Air Cooler,philips,amazonde,B07WBYD5NT,"Philips AC0820/10 Compact Air Purifier (for Allergy Sufferers, up to 49m2, Cadr 190m3/H, Aerasense Sensor) White ","Philips AC0820/10 Compact Air Purifier (for Allergy Sufferers, up to 49m2, Cadr 190m3/H, Aerasense Sensor) White",https://images-eu.ssl-images-amazon.com/images/I/71aS5BctVJL.__AC_SX300_SY300_QL70_ML2_.jpg,103.77,159.99,EUR,4.5,3055," 
 About this item    The air purifier AC0820/10 is ideal for allergy sufferers: Removes up to 99.5% of common allergens in the air.    High quality filters remove pollen, dust, bacteria, viruses, ultra-fine particles up to a size of 0.003μm.    AeraSense technology provides real-time information about the current air quality via the numeric air quality display and colour signal (4 colour settings).    Air purification rate: 190 m³/h, effectively cleans rooms up to 49 m².    3 cleaning modes (automatic, sleep and turbo mode) - quiet operation (35db (A)).    
 See more product details ","About this item    The air purifier AC0820/10 is ideal for allergy sufferers: Removes up to 99.5% of common allergens in the air.    High quality filters remove pollen, dust, bacteria, viruses, ultra-fine particles up to a size of 0.003μm.    AeraSense technology provides real-time information about the current air quality via the numeric air quality display and colour signal (4 colour settings).    Air purification rate: 190 m³/h, effectively cleans rooms up to 49 m².    3 cleaning modes (automatic, sleep and turbo mode) - quiet operation (35db (A)).    
 See more product details",https://www.amazon.de/-/en/AC0820-10-Purifier-Sufferers-Aerasense/dp/B07WBYD5NT/ref=sr_1_41?keywords=luftluftluftluftschall&qid=1638506058&sr=8-41
Dampfbürste,Steam Brush  ,philips,amazonde,B075JNBHL7,"Philips GC362/80 – Steamer Special Vertical and Horizontal 2 in 1 Function, 1300 W, Black (Spanish Version) ","Philips GC362/80 – Steamer Special Vertical and Horizontal 2 in 1 Function, 1300 W, Black (Spanish Version)",https://images-eu.ssl-images-amazon.com/images/I/61adMlyA7vL.__AC_SX300_SY300_QL70_ML2_.jpg,77.14,87.68,EUR,3.7,75," 
 About this item    2 in 1: steam-vertical and horizontal function.    Hot-steam Smartflow plate for perfect results.    Automatic constant steam output by electric pump.    Brush for a smooth surface, Spanish version    Adheres securely to delicate fabrics such as silk    
","About this item    2 in 1: steam-vertical and horizontal function.    Hot-steam Smartflow plate for perfect results.    Automatic constant steam output by electric pump.    Brush for a smooth surface, Spanish version    Adheres securely to delicate fabrics such as silk",https://www.amazon.de/-/en/Philips-GC362-80-Vertical-Horizontal/dp/B075JNBHL7/ref=sr_1_106?keywords=Dampfb%C3%BCrste&qid=1638506089&sr=8-106
Turmventilator,Tower Fan,tristar,amazonde,B06XGB8DM9,Tristar VE-5905 Fan 73 cm 30 W 220 V White ,Tristar VE-5905 Fan 73 cm 30 W 220 V White,https://images-eu.ssl-images-amazon.com/images/I/61MQ03pZqBL.__AC_SX300_SY300_QL70_ML2_.jpg,26.3,34.99,EUR,3.7,1399," 
 About this item    Trendy column fan    Adjustable to 3 different positions    Protection against overheating    Built-in handle    Swivel, 75 cm    
 See more product details ","About this item    Trendy column fan    Adjustable to 3 different positions    Protection against overheating    Built-in handle    Swivel, 75 cm    
 See more product details",https://www.amazon.de/-/en/Tristar-VE-5905-Fan-220-White/dp/B06XGB8DM9/ref=sr_1_32?keywords=Turmventilator&qid=1638506125&sr=8-32
Standventilator,Pedestal Fan,tristar,amazonde,B01CCO130M,Tristar Retro Fan Diameter 40 cm – Copper Finishing Pack 5971 ,Tristar Retro Fan Diameter 40 cm – Copper Finishing Pack 5971,https://images-eu.ssl-images-amazon.com/images/I/71J13eKCa0L.__AC_SY300_SX300_QL70_ML2_.jpg,0.0,0.0,EUR,4.2,311," 
 About this item    Diameter Fan: 40 cm    Adjustable power levels: 3    Speed: 950 – 1100 – 1300 R/M    Air Flow: 2149 cubic metres/hour    Airflow/airflow: 3560 cubic metres/hour    Oszill insulating 85 °    Overheating protection    
",About this item    Diameter Fan: 40 cm    Adjustable power levels: 3    Speed: 950 – 1100 – 1300 R/M    Air Flow: 2149 cubic metres/hour    Airflow/airflow: 3560 cubic metres/hour    Oszill insulating 85 °    Overheating protection,https://www.amazon.de/-/en/Tristar-Retro-Diameter-Copper-Finishing/dp/B01CCO130M/ref=sr_1_48?keywords=Standventilator&qid=1638506204&sr=8-48
Standventilator,Pedestal Fan,tristar,amazonde,B06XGB8DM9,Tristar VE-5905 Fan 73 cm 30 W 220 V White ,Tristar VE-5905 Fan 73 cm 30 W 220 V White,https://images-eu.ssl-images-amazon.com/images/I/61MQ03pZqBL.__AC_SX300_SY300_QL70_ML2_.jpg,26.3,34.99,EUR,3.7,1399," 
 About this item    Trendy column fan    Adjustable to 3 different positions    Protection against overheating    Built-in handle    Swivel, 75 cm    
 See more product details ","About this item    Trendy column fan    Adjustable to 3 different positions    Protection against overheating    Built-in handle    Swivel, 75 cm    
 See more product details",https://www.amazon.de/-/en/Tristar-VE-5905-Fan-220-White/dp/B06XGB8DM9/ref=sr_1_56?keywords=Standventilator&qid=1638506308&sr=8-56
Reisebügeleisen,Travel Iron ,homeasy,amazonde,B0895V7774,"HOMEASY Travel Steamer, Steam Brush Travel Iron with 110 ml Water Tank, 800 W Travel Steam Iron Stations, 40S Quick Heating for Everyday and Travel ","HOMEASY Travel Steamer, Steam Brush Travel Iron with 110 ml Water Tank, 800 W Travel Steam Iron Stations, 40S Quick Heating for Everyday and Travel",https://images-eu.ssl-images-amazon.com/images/I/61zgHL2OtvL.__AC_SX300_SY300_QL70_ML2_.jpg,42.99,42.99,EUR,4.3,708," 
 About this item    Ultralight and ultra-portable: the portable steamer from Homemasy has a removable, divided design that makes carrying and storing more convenient. Whether you are at home or on the go, it can accompany you easily    Fast and duration: only 40 seconds for the heating of the Homemasy travel iron. One button switch is simple and clear. Heats the water to even steam    Effective and versatile: The 110°C hot and pressurised high temperature steam from this steamer penetrates deep into the fabric and quickly removes wrinkles from all types of garments    Safety: the Homemasy steam brush is equipped with an overheating protection function, which can prevent dry burning, automatically detect electricity and temperature. If they exceed the standard, the device will automatically turn off and provide you complete protection    Homemasy travel iron is certified by GS, CE, CB, GS - -    
","About this item    Ultralight and ultra-portable: the portable steamer from Homemasy has a removable, divided design that makes carrying and storing more convenient. Whether you are at home or on the go, it can accompany you easily    Fast and duration: only 40 seconds for the heating of the Homemasy travel iron. One button switch is simple and clear. Heats the water to even steam    Effective and versatile: The 110°C hot and pressurised high temperature steam from this steamer penetrates deep into the fabric and quickly removes wrinkles from all types of garments    Safety: the Homemasy steam brush is equipped with an overheating protection function, which can prevent dry burning, automatically detect electricity and temperature. If they exceed the standard, the device will automatically turn off and provide you complete protection    Homemasy travel iron is certified by GS, CE, CB, GS - -",https://www.amazon.de/HOMEASY-Steamer-Stations-Heating-Everyday/dp/B0895V7774/ref=sr_1_70_sspa?keywords=Reiseb%C3%BCgeleisen&qid=1638506301&sr=8-70-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzSzdQVkpMUlFJQUhSJmVuY3J5cHRlZElkPUEwMjczOTc3MVFEOVpDVDZLOThFJmVuY3J5cHRlZEFkSWQ9QTA5OTQ4MDcyTTRJWU40T0hLTURDJndpZGdldE5hbWU9c3BfYnRmJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==
Reisebügeleisen,Travel Iron ,tefal,amazonde,B07NDXPVFF,"Tefal DT7000 Access Steam Minute Steam Brush (1100 Watts, Includes Accessories, 1 Steam Level, Tank Filling Quantity: 150 ml), Blue / Black / White ","Tefal DT7000 Access Steam Minute Steam Brush (1100 Watts, Includes Accessories, 1 Steam Level, Tank Filling Quantity: 150 ml), Blue / Black / White",https://images-eu.ssl-images-amazon.com/images/I/71wUC1QiZzL.__AC_SY300_SX300_QL70_ML2_.jpg,49.97,49.97,EUR,3.7,31," 
 About this item    Ready to use in just 45 seconds: With a steam output of up to 17 g/min.    Removable water tank with 150 ml capacity: Up to 8 minutes of steam output with a single full tank.    1 steam level; stable base; cable length: 2 metres.    Box contents: Tefal DT7000 Access Steam Minute steam brush, steam hood, lint brush, coat hook, instruction manual (English language not guaranteed).    Includes accessories: steam hood, lint brush and coat hooks.    
","About this item    Ready to use in just 45 seconds: With a steam output of up to 17 g/min.    Removable water tank with 150 ml capacity: Up to 8 minutes of steam output with a single full tank.    1 steam level; stable base; cable length: 2 metres.    Box contents: Tefal DT7000 Access Steam Minute steam brush, steam hood, lint brush, coat hook, instruction manual (English language not guaranteed).    Includes accessories: steam hood, lint brush and coat hooks.",https://www.amazon.de/-/en/DT7000-Access-Accessories-Filling-Quantity/dp/B07NDXPVFF/ref=sr_1_79?keywords=Reiseb%C3%BCgeleisen&qid=1638506406&sr=8-79
Dampfreiniger,Steam Cleaner ,black+decker,amazonde,B076CRCT5L,"BLACK+DECKER Steam Mop, White / Blue, 10-in-1 ","BLACK+DECKER Steam Mop, White / Blue, 10-in-1",https://images-eu.ssl-images-amazon.com/images/I/51BTaibO7GL.__AC_SX300_SY300_QL70_ML2_.jpg,75.76,79.94,EUR,3.8,1011," 
 About this item    Hygienic Pure: The Steam Cleaner allows for striking cleanliness and eliminates 99.9% of household germs and bacteria cleaning without the use of chemical cleaners, even on sealed floors    Save water push-button control on the handle can be selected with the appropriate floor. The technology ensures an automatic steam Mengen emission vary a little    Easy to use: The Steam Mop is ready to use in just 15 seconds. The water tank changes from red to blue, when the device is ready to use    10in1: Ideal for use on floors, Work Surfaces, fittings, Windows, Tiles, garden furniture, oven/cooker grill and more    Inhhalt 2 brushes 1x 10 Piece Gadget for cleaning floors, carpets, windows, oven/grill, garden furniture and freshen up of textiles, 2 year guarantee    
 See more product details ","About this item    Hygienic Pure: The Steam Cleaner allows for striking cleanliness and eliminates 99.9% of household germs and bacteria cleaning without the use of chemical cleaners, even on sealed floors    Save water push-button control on the handle can be selected with the appropriate floor. The technology ensures an automatic steam Mengen emission vary a little    Easy to use: The Steam Mop is ready to use in just 15 seconds. The water tank changes from red to blue, when the device is ready to use    10in1: Ideal for use on floors, Work Surfaces, fittings, Windows, Tiles, garden furniture, oven/cooker grill and more    Inhhalt 2 brushes 1x 10 Piece Gadget for cleaning floors, carpets, windows, oven/grill, garden furniture and freshen up of textiles, 2 year guarantee    
 See more product details",https://www.amazon.de/BLACK-DECKER-Steam-White-Blue/dp/B076CRCT5L/ref=sr_1_179_sspa?keywords=feuchfreiniger&qid=1638506359&sr=8-179-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzODhMTVEwWFRWM1lEJmVuY3J5cHRlZElkPUEwMjE4ODE3MUVYM01RUFZMTFlLVCZlbmNyeXB0ZWRBZElkPUEwMzE4MjM2MldCTUM1VEk2N0xSSiZ3aWRnZXROYW1lPXNwX210ZiZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=
Dampfreiniger,Steam Cleaner ,ariete,amazonde,B086J1GPX4,Ariete 4142 Deluxe Steam Cleaner 1.6L 1500W 5 Bar Steam Cleaner 13 Cleaning Accessories Autonomy 55min Cable 6m Indicator Light Plug and Safety Gun White Grey ,Ariete 4142 Deluxe Steam Cleaner 1.6L 1500W 5 Bar Steam Cleaner 13 Cleaning Accessories Autonomy 55min Cable 6m Indicator Light Plug and Safety Gun White Grey,https://images-eu.ssl-images-amazon.com/images/I/51xYX-0A94L.__AC_SX300_SY300_QL70_ML2_.jpg,107.03,107.03,EUR,4.2,46," 
 About this item    Power: 1500 W, maximum pressure 5 bar    Water tank 1. 6L (useful)    Steam cleaner, plug and safety gun    Warm-up time 8 minutes with 55 minutes running time    ON/OFF indicator light. Ready-to-use light signal    
","About this item    Power: 1500 W, maximum pressure 5 bar    Water tank 1. 6L (useful)    Steam cleaner, plug and safety gun    Warm-up time 8 minutes with 55 minutes running time    ON/OFF indicator light. Ready-to-use light signal",https://www.amazon.de/-/en/4142-Cleaning-Accessories-Autonomy-Indicator/dp/B086J1GPX4/ref=sr_1_234?keywords=feuchfreiniger&qid=1638506462&sr=8-234
